"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
4992,"Rc",134,203,158,46,6749,360,17,343,272,130,282,110,287,48,8,64,132,26,131,28,-103.153,29.173,"collis","collis",NA
4992,"Rc",135,200,161,46,6836,363,13,350,270,125,281,106,304,62,7,75,166,24,151,24,-103.612,29.165,"collis","collis",NA
4992,"Rc",136,188,149,45,6332,340,15,325,252,118,263,101,340,62,8,68,171,28,158,32,-103.37,29.144,"collis","collis",NA
4992,"Rc",137,197,155,45,6615,354,16,338,265,126,275,107,301,56,9,66,149,27,143,28,-103.3010025,29.1049995,"collis","collis",NA
4992,"Rc",138,215,170,46,7203,383,14,369,289,124,299,116,255,55,6,76,137,19,134,20,-103.4503,29.0689,"collis","collis",NA
4992,"Rc",139,215,170,46,7203,383,14,369,289,124,299,116,255,55,6,76,137,19,134,20,-103.4503,29.0689,"collis","collis",NA
4992,"Rc",140,215,170,46,7203,383,14,369,289,124,299,116,255,55,6,76,137,19,134,20,-103.4503,29.0689,"collis","collis",NA
4992,"Rc",141,215,170,46,7203,383,14,369,289,124,299,116,255,55,6,76,137,19,134,20,-103.4503,29.0689,"collis","collis",NA
4992,"Rc",142,202,154,45,6572,356,21,335,279,131,279,111,273,47,8,62,125,26,125,28,-103.147,29.016,"collis","collis",NA
4790,"Kh",143,212,157,46,6724,367,26,341,291,140,291,120,257,39,6,59,112,24,112,27,-102.9032,29.08604,"mapimienss","collis","Y"
4790,"Kh",144,208,154,46,6538,360,27,333,285,138,285,118,265,41,6,58,116,26,116,29,-102.85356,29.04248,"mapimienss","collis","Y"
4790,"Kh",145,214,143,47,5876,352,54,298,276,152,282,133,531,114,12,71,247,41,212,42,-101.81649,28.1507,"mapimienss","collis","Y"
4832,"Kl",146,226,143,43,6768,383,52,331,274,154,308,135,400,81,14,58,155,47,97,48,-100.705182,27.619882,"mapimienss","collis","Y"
4790,"Kh",147,226,152,45,6602,382,50,332,271,156,306,137,403,75,9,57,166,41,136,46,-101.22702,27.33692,"mapimienss","collis","Y"
